method,distance_metric,query_track_id,query_label,rank,neighbor_track_id,neighbor_label,distance,same_genre,human_similarity_1_to_5,human_notes
classification_embedding,cosine,blues/blues.00008,blues,1,blues/blues.00057,blues,0.05969768762588501,True,,
classification_embedding,cosine,blues/blues.00008,blues,2,blues/blues.00050,blues,0.0820503830909729,True,,
classification_embedding,cosine,blues/blues.00008,blues,3,blues/blues.00055,blues,0.12870126962661743,True,,
classification_embedding,cosine,blues/blues.00008,blues,4,blues/blues.00097,blues,0.13381940126419067,True,,
classification_embedding,cosine,blues/blues.00008,blues,5,reggae/reggae.00077,reggae,0.15178239345550537,False,,
classification_embedding,cosine,classical/classical.00077,classical,1,classical/classical.00075,classical,0.05545896291732788,True,,
classification_embedding,cosine,classical/classical.00077,classical,2,classical/classical.00018,classical,0.07963758707046509,True,,
classification_embedding,cosine,classical/classical.00077,classical,3,classical/classical.00078,classical,0.08243590593338013,True,,
classification_embedding,cosine,classical/classical.00077,classical,4,classical/classical.00030,classical,0.0827593207359314,True,,
classification_embedding,cosine,classical/classical.00077,classical,5,classical/classical.00063,classical,0.08306103944778442,True,,
classification_embedding,cosine,country/country.00065,country,1,country/country.00093,country,0.07097089290618896,True,,
classification_embedding,cosine,country/country.00065,country,2,country/country.00019,country,0.07683855295181274,True,,
classification_embedding,cosine,country/country.00065,country,3,country/country.00088,country,0.09562981128692627,True,,
classification_embedding,cosine,country/country.00065,country,4,country/country.00024,country,0.10110896825790405,True,,
classification_embedding,cosine,country/country.00065,country,5,country/country.00047,country,0.10468852519989014,True,,
classification_embedding,cosine,disco/disco.00043,disco,1,disco/disco.00007,disco,0.045461833477020264,True,,
classification_embedding,cosine,disco/disco.00043,disco,2,disco/disco.00030,disco,0.04684525728225708,True,,
classification_embedding,cosine,disco/disco.00043,disco,3,disco/disco.00078,disco,0.05095541477203369,True,,
classification_embedding,cosine,disco/disco.00043,disco,4,disco/disco.00037,disco,0.052774131298065186,True,,
classification_embedding,cosine,disco/disco.00043,disco,5,disco/disco.00014,disco,0.05460357666015625,True,,
classification_embedding,cosine,hiphop/hiphop.00043,hiphop,1,hiphop/hiphop.00048,hiphop,0.05674535036087036,True,,
classification_embedding,cosine,hiphop/hiphop.00043,hiphop,2,hiphop/hiphop.00062,hiphop,0.060118675231933594,True,,
classification_embedding,cosine,hiphop/hiphop.00043,hiphop,3,hiphop/hiphop.00009,hiphop,0.061782240867614746,True,,
classification_embedding,cosine,hiphop/hiphop.00043,hiphop,4,hiphop/hiphop.00019,hiphop,0.07455211877822876,True,,
classification_embedding,cosine,hiphop/hiphop.00043,hiphop,5,hiphop/hiphop.00058,hiphop,0.0753943920135498,True,,
classification_embedding,cosine,jazz/jazz.00086,jazz,1,jazz/jazz.00079,jazz,0.1573106050491333,True,,
classification_embedding,cosine,jazz/jazz.00086,jazz,2,jazz/jazz.00085,jazz,0.1989186406135559,True,,
classification_embedding,cosine,jazz/jazz.00086,jazz,3,jazz/jazz.00082,jazz,0.22555768489837646,True,,
classification_embedding,cosine,jazz/jazz.00086,jazz,4,jazz/jazz.00084,jazz,0.23538058996200562,True,,
classification_embedding,cosine,jazz/jazz.00086,jazz,5,jazz/jazz.00088,jazz,0.2487499713897705,True,,
classification_embedding,cosine,metal/metal.00008,metal,1,metal/metal.00078,metal,0.09961003065109253,True,,
classification_embedding,cosine,metal/metal.00008,metal,2,metal/metal.00057,metal,0.1013074517250061,True,,
classification_embedding,cosine,metal/metal.00008,metal,3,metal/metal.00095,metal,0.10500478744506836,True,,
classification_embedding,cosine,metal/metal.00008,metal,4,metal/metal.00033,metal,0.11516106128692627,True,,
classification_embedding,cosine,metal/metal.00008,metal,5,metal/metal.00079,metal,0.11841893196105957,True,,
classification_embedding,cosine,pop/pop.00069,pop,1,pop/pop.00037,pop,0.08519721031188965,True,,
classification_embedding,cosine,pop/pop.00069,pop,2,hiphop/hiphop.00031,hiphop,0.09387063980102539,False,,
classification_embedding,cosine,pop/pop.00069,pop,3,pop/pop.00033,pop,0.12276047468185425,True,,
classification_embedding,cosine,pop/pop.00069,pop,4,disco/disco.00028,disco,0.1264132261276245,False,,
classification_embedding,cosine,pop/pop.00069,pop,5,disco/disco.00011,disco,0.12818878889083862,False,,
classification_embedding,cosine,reggae/reggae.00020,reggae,1,reggae/reggae.00008,reggae,0.022168338298797607,True,,
classification_embedding,cosine,reggae/reggae.00020,reggae,2,reggae/reggae.00027,reggae,0.027103543281555176,True,,
classification_embedding,cosine,reggae/reggae.00020,reggae,3,reggae/reggae.00013,reggae,0.02987593412399292,True,,
classification_embedding,cosine,reggae/reggae.00020,reggae,4,reggae/reggae.00026,reggae,0.03260308504104614,True,,
classification_embedding,cosine,reggae/reggae.00020,reggae,5,reggae/reggae.00003,reggae,0.03383767604827881,True,,
classification_embedding,cosine,rock/rock.00009,rock,1,rock/rock.00033,rock,0.1413159966468811,True,,
classification_embedding,cosine,rock/rock.00009,rock,2,rock/rock.00007,rock,0.1525009274482727,True,,
classification_embedding,cosine,rock/rock.00009,rock,3,rock/rock.00004,rock,0.1568746566772461,True,,
classification_embedding,cosine,rock/rock.00009,rock,4,rock/rock.00050,rock,0.1623525619506836,True,,
classification_embedding,cosine,rock/rock.00009,rock,5,country/country.00026,country,0.16869193315505981,False,,
classification_embedding,euclidean,blues/blues.00008,blues,1,blues/blues.00057,blues,0.34553632140159607,True,,
classification_embedding,euclidean,blues/blues.00008,blues,2,blues/blues.00050,blues,0.40509387850761414,True,,
classification_embedding,euclidean,blues/blues.00008,blues,3,blues/blues.00055,blues,0.5073488354682922,True,,
classification_embedding,euclidean,blues/blues.00008,blues,4,blues/blues.00097,blues,0.5173381567001343,True,,
classification_embedding,euclidean,blues/blues.00008,blues,5,reggae/reggae.00077,reggae,0.5509670376777649,False,,
classification_embedding,euclidean,classical/classical.00077,classical,1,classical/classical.00075,classical,0.3330434262752533,True,,
classification_embedding,euclidean,classical/classical.00077,classical,2,classical/classical.00018,classical,0.3990930914878845,True,,
classification_embedding,euclidean,classical/classical.00077,classical,3,classical/classical.00078,classical,0.4060440957546234,True,,
classification_embedding,euclidean,classical/classical.00077,classical,4,classical/classical.00030,classical,0.4068397283554077,True,,
classification_embedding,euclidean,classical/classical.00077,classical,5,classical/classical.00063,classical,0.40758058428764343,True,,
classification_embedding,euclidean,country/country.00065,country,1,country/country.00093,country,0.37675169110298157,True,,
classification_embedding,euclidean,country/country.00065,country,2,country/country.00019,country,0.39201679825782776,True,,
classification_embedding,euclidean,country/country.00065,country,3,country/country.00088,country,0.437332421541214,True,,
classification_embedding,euclidean,country/country.00065,country,4,country/country.00024,country,0.44968661665916443,True,,
classification_embedding,euclidean,country/country.00065,country,5,country/country.00047,country,0.45757728815078735,True,,
